NAME, Part, Lon, Lat
Viceroy, 1, -75.87584, 41.41721
Viceroy, 1, -75.95604, 41.3978
Viceroy, 1, -75.95933, 41.397
Viceroy, 1, -76.01143, 41.3844
Viceroy, 1, -76.02223, 41.38409
Viceroy, 1, -76.03823, 41.3837
Viceroy, 1, -76.05883, 41.3831
Viceroy, 1, -76.15385, 41.3806
Viceroy, 1, -76.18224, 41.3799
Viceroy, 1, -76.24372, 41.3782
Viceroy, 1, -76.28264, 41.3772
Viceroy, 1, -76.24153, 41.47929
Viceroy, 1, -76.22935, 41.5097
Viceroy, 1, -76.22195, 41.5421
Forest, 1, -79.51204, 41.62451
Forest, 1, -79.49185, 41.62451
Forest, 1, -79.39773, 41.62441
Forest, 1, -79.29353, 41.62431
Forest, 1, -79.24754, 41.62422
Forest, 1, -79.20903, 41.62422
Forest, 1, -79.20564, 41.62422
Forest, 1, -79.08533, 41.62411
Forest, 1, -78.95622, 41.62391
Forest, 1, -78.95763, 41.5277
Forest, 1, -78.95873, 41.45152
Forest, 1, -78.95893, 41.43701
Forest, 1, -78.96253, 41.43701
Forest, 1, -78.97663, 41.43691
Forest, 1, -78.97663, 41.45172
Forest, 1, -79.06373, 41.45321
Forest, 1, -79.06524, 41.42311
Forest, 1, -79.09354, 41.42321
Forest, 1, -79.09372, 41.41621
Forest, 1, -79.09531, 41.34163
Forest, 1, -79.10093, 41.34262
Forest, 1, -79.10633, 41.33851
Forest, 1, -79.10492, 41.33212
Forest, 1, -79.10683, 41.32611
Forest, 1, -79.11293, 41.32492
Forest, 1, -79.11863, 41.32861
Forest, 1, -79.12413, 41.33111
Forest, 1, -79.13403, 41.3402
Forest, 1, -79.14032, 41.3413
Forest, 1, -79.14803, 41.33201
Forest, 1, -79.15395, 41.32881
Forest, 1, -79.16033, 41.33032
Forest, 1, -79.16284, 41.33581
Forest, 1, -79.15974, 41.34091
Forest, 1, -79.16534, 41.34391
Forest, 1, -79.16934, 41.33921
Forest, 1, -79.16724, 41.33361
Forest, 1, -79.17302, 41.32531
Forest, 1, -79.17643, 41.33061
Forest, 1, -79.17623, 41.33691
Forest, 1, -79.18174, 41.3393
Forest, 1, -79.18724, 41.33641
Forest, 1, -79.18594, 41.33052
Forest, 1, -79.18953, 41.32551
Forest, 1, -79.19564, 41.32431
Forest, 1, -79.20192, 41.32641
Forest, 1, -79.20654, 41.33111
Forest, 1, -79.20893, 41.33181
Forest, 1, -79.20752, 41.41851
Forest, 1, -79.20734, 41.43081
Forest, 1, -79.21073, 41.4309
Forest, 1, -79.35924, 41.43492
Forest, 1, -79.39984, 41.43601
Forest, 1, -79.40016, 41.38632
Forest, 1, -79.47785, 41.38641
Forest, 1, -79.47795, 41.4132
Forest, 1, -79.47805, 41.4401
Forest, 1, -79.52164, 41.44032
Forest, 1, -79.52204, 41.4652
Forest, 1, -79.51224, 41.4652
Forest, 1, -79.51224, 41.50001
Forest, 1, -79.51224, 41.51132
Forest, 1, -79.51204, 41.62451
Midas, 1, -78.95622, 41.62391
Midas, 1, -78.81492, 41.62561
Midas, 1, -78.71063, 41.62692
Midas, 1, -78.48361, 41.62959
Midas, 1, -78.48302, 41.60211
Midas, 1, -78.41931, 41.6023
Midas, 1, -78.41962, 41.5123
Midas, 1, -78.42001, 41.40492
Midas, 1, -78.2555, 41.40492
Midas, 1, -78.2548, 41.32371
Midas, 1, -78.24011, 41.32321
Midas, 1, -78.2351, 41.29801
Midas, 1, -78.2366, 41.2304
Midas, 1, -78.34541, 41.23661
Midas, 1, -78.42142, 41.24092
Midas, 1, -78.4259, 41.24121
Midas, 1, -78.48902, 41.24472
Midas, 1, -78.55432, 41.24841
Midas, 1, -78.64632, 41.2537
Midas, 1, -78.64791, 41.21742
Midas, 1, -78.65121, 41.21661
Midas, 1, -78.71021, 41.20181
Midas, 1, -78.71012, 41.22111
Midas, 1, -78.71002, 41.2302
Midas, 1, -78.73863, 41.23062
Midas, 1, -78.74043, 41.25001
Midas, 1, -78.74032, 41.26521
Midas, 1, -78.81632, 41.29881
Midas, 1, -78.87142, 41.32321
Midas, 1, -78.93022, 41.34931
Midas, 1, -78.95923, 41.36212
Midas, 1, -78.96132, 41.37101
Midas, 1, -78.96523, 41.37001
Midas, 1, -78.96932, 41.37571
Midas, 1, -78.97503, 41.37501
Midas, 1, -78.97872, 41.3702
Midas, 1, -78.98383, 41.36691
Midas, 1, -78.98983, 41.3684
Midas, 1, -78.99563, 41.36682
Midas, 1, -78.99973, 41.36241
Midas, 1, -79.00654, 41.35931
Midas, 1, -79.01313, 41.35832
Midas, 1, -79.01583, 41.3525
Midas, 1, -79.02173, 41.35101
